id,session,exp_name,exp_start,stimuli,stim_start,response,rt,block,stim_targ_names,resp_key,stim_dur,type
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_s.bmp,301.4525994,n,0.4392381,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_v.bmp,302.2019968,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_m.bmp,302.9524107,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_b.bmp,303.7019806,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_s.bmp,304.4525983,n,0.5272075,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_b.bmp,305.2019626,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_d.bmp,305.9672925,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_v.bmp,306.7017322,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_b.bmp,307.4525037,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_n.bmp,308.2013267,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_c.bmp,308.9522694,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_p.bmp,309.7019252,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_f.bmp,310.4525978,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_p.bmp,311.2019062,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_r.bmp,311.9522912,n,0.4187268,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_q.bmp,312.7019988,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_f.bmp,313.4525948,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_s.bmp,314.2020658,n,0.5220328,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_m.bmp,314.9524531,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_h.bmp,315.70156,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_b.bmp,316.4525463,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_m.bmp,317.2020239,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_q.bmp,317.9525604,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_s.bmp,318.7021252,n,0.5816921,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_v.bmp,319.4522142,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_l.bmp,320.2021718,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_s.bmp,320.9525561,n,0.4761682,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_j.bmp,321.7018258,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
examplefmt1,1,PGNGS_RST_750_english,16.8684844,L_g.bmp,322.452329,,,1,"['L_s.bmp', 'L_r.bmp']",n,0.75,go
